customer_id,order_count,spend
32,18,13475.41
76,15,12576.66
61,17,11588.79
95,17,11362.74
41,15,10976.45
62,16,10236.37
77,9,10130.51
33,12,9926.89
58,13,9917.95
56,12,9643.8
93,11,9618.0
80,11,9586.52
39,14,9512.45
22,14,9427.72
40,12,9274.51
69,14,9142.57
96,13,8775.29
100,10,8765.36
12,11,8666.75
78,11,8641.75
73,12,8582.949999999999
47,12,8258.42
60,13,8212.65
23,10,8156.46
90,11,8093.49
67,11,8084.110000000001
75,10,7985.67
92,10,7896.1900000000005
68,11,7674.1900000000005
72,10,7566.93
85,12,7429.46
8,12,7352.26
57,9,7291.44
70,11,7213.47
99,10,7089.62
42,12,7030.87
1,10,6983.6
83,12,6945.93
87,9,6923.1
24,12,6882.18
89,12,6842.75
16,9,6777.610000000001
13,7,6678.23
31,8,6629.43
79,8,6581.86
21,12,6449.53
86,13,6286.55
38,8,6133.37
20,13,6120.66
48,13,6085.36
