date,avg_order_value
2024-08-26,1027.55
2024-08-27,280.67
2024-08-28,136.74
2024-09-01,358.14
2024-09-02,570.16
2024-09-03,277.17499999999995
2024-09-04,401.98
2024-09-05,621.3100000000001
2024-09-06,1091.36
2024-09-08,500.44
2024-09-09,979.8599999999999
2024-09-10,652.83
2024-09-11,357.11
2024-09-12,1020.2533333333334
2024-09-13,244.95
2024-09-14,388.28499999999997
2024-09-15,535.6800000000001
2024-09-16,467.65
2024-09-17,1203.52
2024-09-18,510.59
2024-09-20,772.6
2024-09-21,464.21000000000004
2024-09-22,488.1325
2024-09-23,760.88
2024-09-24,401.21
2024-09-25,398.695
2024-09-26,886.47
2024-09-27,633.6949999999999
2024-09-28,187.38
2024-09-29,487.34
2024-09-30,838.69
2024-10-01,375.76
2024-10-02,648.4649999999999
2024-10-03,957.56
2024-10-04,797.57
2024-10-08,323.92
2024-10-09,323.62333333333333
2024-10-10,983.39
2024-10-11,838.9599999999999
2024-10-12,780.07
2024-10-13,897.3566666666666
2024-10-14,1447.08
2024-10-16,1220.845
2024-10-17,1217.42
2024-10-18,988.46
2024-10-19,938.4
2024-10-20,1106.86
2024-10-21,526.05
2024-10-22,688.51
2024-10-23,663.1850000000001
2024-10-24,783.1733333333333
2024-10-25,957.05
2024-10-26,349.735
2024-10-29,846.3
2024-10-31,776.8266666666667
2024-11-01,713.492
2024-11-02,1755.96
2024-11-04,842.39
2024-11-05,429.87
2024-11-06,403.83
2024-11-08,534.17
2024-11-09,1080.28
2024-11-10,857.73
2024-11-11,525.832
2024-11-12,526.9033333333333
2024-11-13,1755.96
2024-11-14,339.475
2024-11-16,1130.455
2024-11-17,361.02
2024-11-18,624.335
2024-11-22,600.905
2024-11-24,292.22
2024-11-25,899.32
2024-11-26,119.2
2024-11-27,593.4399999999999
2024-11-29,317.45
2024-12-01,1245.7433333333336
2024-12-02,1554.39
2024-12-03,876.74
2024-12-05,1214.14
2024-12-06,280.555
2024-12-07,950.96
2024-12-08,509.14000000000004
2024-12-09,394.96999999999997
2024-12-11,829.21
2024-12-12,803.0550000000001
2024-12-15,327.79
2024-12-16,414.77333333333337
2024-12-17,462.58500000000004
2024-12-18,486.92
2024-12-19,720.1
2024-12-20,209.76
2024-12-21,725.895
2024-12-22,968.78
2024-12-23,477.3
2024-12-25,254.1
2024-12-26,810.65
2024-12-27,698.71
2024-12-28,960.455
2024-12-29,719.725
2025-01-01,580.7166666666667
2025-01-02,319.97
2025-01-03,496.93666666666667
2025-01-04,690.0699999999999
2025-01-05,101.93
2025-01-07,269.51
2025-01-11,367.25
2025-01-12,355.015
2025-01-13,306.45
2025-01-14,328.66999999999996
2025-01-15,657.125
2025-01-16,713.0033333333334
2025-01-17,434.07500000000005
2025-01-19,576.5550000000001
2025-01-24,729.58
2025-01-25,1131.795
2025-01-26,1755.96
2025-01-28,723.9100000000001
2025-01-29,537.6333333333333
2025-01-30,1127.4
2025-02-01,182.81
2025-02-02,605.47
2025-02-04,952.45
2025-02-06,823.605
2025-02-08,494.57
2025-02-09,268.73
2025-02-10,425.42
2025-02-11,566.5466666666667
2025-02-13,1343.105
2025-02-16,1372.87
2025-02-18,523.14
2025-02-19,478.77
2025-02-20,444.695
2025-02-21,538.4
2025-02-22,418.235
2025-02-23,186.075
2025-02-24,342.935
2025-02-25,1242.155
2025-02-26,615.9766666666667
2025-02-27,356.83
2025-02-28,810.01
2025-03-01,594.4766666666667
2025-03-02,1755.96
2025-03-03,690.95
2025-03-04,631.94
2025-03-06,1058.4966666666667
2025-03-07,470.81500000000005
2025-03-08,718.5799999999999
2025-03-09,921.54
2025-03-10,321.8
2025-03-11,989.1299999999999
2025-03-12,996.72
2025-03-13,949.02
2025-03-14,295.15999999999997
2025-03-15,730.325
2025-03-17,412.35
2025-03-18,794.345
2025-03-19,507.3533333333333
2025-03-20,250.825
2025-03-21,421.365
2025-03-26,291.21000000000004
2025-03-27,693.8733333333333
2025-03-28,638.69
2025-03-29,521.81
2025-03-30,906.0633333333334
2025-04-01,581.38
2025-04-02,792.13
2025-04-04,208.82
2025-04-06,384.995
2025-04-07,618.035
2025-04-08,1163.28
2025-04-09,242.48
2025-04-10,890.8
2025-04-11,373.70500000000004
2025-04-12,144.42
2025-04-14,599.01
2025-04-16,701.3
2025-04-17,947.525
2025-04-19,495.3866666666667
2025-04-20,1752.55
2025-04-22,346.93
2025-04-24,406.6
2025-04-25,484.39
2025-04-26,364.66499999999996
2025-04-27,453.12
2025-04-28,415.89
2025-04-30,162.3
2025-05-04,402.82
2025-05-05,614.18
2025-05-07,175.39
2025-05-09,210.39
2025-05-10,830.58
2025-05-11,736.825
2025-05-12,917.84
2025-05-14,188.41
2025-05-15,270.23
2025-05-16,579.1375
2025-05-18,488.46000000000004
2025-05-19,898.5666666666666
2025-05-20,659.89
2025-05-21,716.56
2025-05-23,965.1466666666666
2025-05-24,648.92
2025-05-25,882.355
2025-05-26,486.35
2025-05-27,412.805
2025-05-28,1443.83
2025-05-29,219.4
2025-05-30,274.91
2025-05-31,348.855
2025-06-01,637.76
2025-06-03,253.145
2025-06-04,171.9
2025-06-05,648.0
2025-06-06,613.74
2025-06-07,633.085
2025-06-08,445.425
2025-06-09,293.96
2025-06-10,533.79
2025-06-11,698.52
2025-06-12,462.95
2025-06-13,688.46
2025-06-14,506.14
2025-06-15,547.62
2025-06-16,509.29
2025-06-17,211.33999999999997
2025-06-18,406.65
2025-06-19,609.4449999999999
2025-06-21,302.76
2025-06-22,946.2049999999999
2025-06-24,942.69
2025-06-26,931.1949999999999
2025-06-27,211.805
2025-06-28,223.29
2025-06-29,1755.96
2025-06-30,724.195
2025-07-01,1097.7633333333333
2025-07-02,471.245
2025-07-03,321.48
2025-07-04,366.05
2025-07-05,444.91
2025-07-06,471.1
2025-07-08,720.72
2025-07-09,415.31800000000004
2025-07-11,466.32
2025-07-12,804.345
2025-07-13,223.85
2025-07-14,751.76
2025-07-15,886.3133333333334
2025-07-16,1193.365
2025-07-17,463.9633333333333
2025-07-19,341.61
2025-07-20,1163.8333333333333
2025-07-22,614.3
2025-07-23,457.73
2025-07-24,646.8033333333333
2025-07-25,332.825
2025-07-26,1390.075
2025-07-27,345.155
2025-07-28,954.985
2025-07-29,703.4733333333334
2025-07-31,655.5166666666667
2025-08-01,341.53999999999996
2025-08-02,265.92
2025-08-05,508.56333333333333
2025-08-06,1622.36
2025-08-07,839.7166666666667
2025-08-09,766.18
2025-08-10,431.55
2025-08-11,1222.96
2025-08-12,663.7566666666667
2025-08-13,261.57
2025-08-14,283.31666666666666
2025-08-15,415.96500000000003
2025-08-16,382.56
2025-08-17,766.2800000000001
2025-08-18,996.87
2025-08-19,698.39
2025-08-20,272.375
2025-08-23,1755.96
2025-08-24,819.075
2025-08-26,805.5433333333334
2025-08-27,605.985
2025-08-28,477.98
2025-08-29,361.57
2025-08-31,1755.96
2025-09-01,646.82
2025-09-04,340.13
2025-09-05,196.305
2025-09-07,795.52
2025-09-13,441.36
2025-09-15,307.3825
2025-09-16,1087.36
2025-09-17,549.82
2025-09-19,784.9699999999999
2025-09-21,994.61
2025-09-22,1406.44
2025-09-23,300.71
2025-09-24,408.23
2025-09-25,1082.18
2025-09-26,279.75
2025-09-27,249.74
2025-09-28,255.87
2025-09-29,1685.17
2025-09-30,548.0
2025-10-01,265.21
2025-10-02,478.54499999999996
2025-10-06,816.71
2025-10-09,449.46999999999997
2025-10-10,539.2766666666666
2025-10-13,690.475
2025-10-15,463.85
2025-10-17,324.94
2025-10-18,1072.23
2025-10-19,463.45
2025-10-20,982.165
2025-10-22,253.45
2025-10-23,239.40666666666667
2025-10-24,1199.255
2025-10-25,642.88
2025-10-26,1063.12
2025-10-28,1073.05
2025-10-29,501.71000000000004
2025-10-30,912.3233333333334
2025-10-31,450.35999999999996
2025-11-01,1348.32
2025-11-02,1092.4450000000002
2025-11-04,746.43
2025-11-06,692.06
2025-11-10,1180.42
2025-11-12,668.8166666666667
2025-11-13,557.975
2025-11-14,714.94
2025-11-17,1137.05
2025-11-18,882.39
2025-11-19,514.275
2025-11-21,1250.94
2025-11-22,238.39
2025-11-23,1486.1033333333335
2025-11-24,491.43
2025-11-25,567.75
2025-11-26,431.84749999999997
2025-11-28,656.765
